Hyatt Regency Hengqin,https://www.hospitalitynet.org/announcement/41004301/hyatt-regency-hengqin.html,https://www.hyatt.com/en-US/hotel/china/hyatt-regency-hengqin/mfmrh,Zhuhai Shi,Hengqin,China,January 2020
Anantara Desaru Coast Resort & Villas,https://www.hospitalitynet.org/announcement/41004302/anantara-desaru-coast-resort-villas.html,https://www.anantara.com/en/desaru-coast,Bandar Penawar,N/A,Malaysia,January 2020
J-Hotel by Dorsett,https://www.hospitalitynet.org/announcement/41004303/j-hotel-by-dorsett.html,https://www.dcollection.com/en/j-hotel/index.html,Kuala Lumpur,N/A,Malaysia,January 2020
"Lushan West Sea Resort, Curio Collection by Hilton",https://www.hospitalitynet.org/announcement/41004304/lushan-west-sea-resort-curio-collection-by-hilton.html,http://curio.hilton.com.cn/zh-cn/hotel/jiujiang/lushan-west-sea-resort-curio-collection-by-hilton-KHNLSQQ/index.html,Jiujiang Shi,N/A,China,January 2020
Embassy Suites by Hilton Jonesboro Red Wolf Convention Center,https://www.hospitalitynet.org/announcement/41004305/embassy-suites-by-hilton-jonesboro-red-wolf-convention-center.html,https://www.hilton.com/en/hotels/jbrjoes-embassy-suites-jonesboro-red-wolf-convention-center/,Jonesboro,Arkansas,USA,January 2020
Embassy Suites by Hilton Oklahoma City Northwest ,https://www.hospitalitynet.org/announcement/41004306/embassy-suites-by-hilton-oklahoma-city-northwest.html,https://embassysuites3.hilton.com/en/hotels/oklahoma/embassy-suites-by-hilton-oklahoma-city-northwest-OKCONES/index.html,Oklahoma City,Oklahoma,USA,January 2020
Tru by Hilton Sharonville Cincinnati,https://www.hospitalitynet.org/announcement/41004307/tru-by-hilton-sharonville-cincinnati.html,https://www.hilton.com/en/hotels/lkushru-tru-sharonville-cincinnati/,Cincinnati,Ohio,USA,January 2020
"Koi Resort Saint Kitts, Curio Collection by Hilton",https://www.hospitalitynet.org/announcement/41004308/koi-resort-saint-kitts-curio-collection-by-hilton.html,https://curiocollection3.hilton.com/en/hotels/saint-kitts-and-nevis-anguilla/koi-resort-saint-kitts-curio-collection-by-hilton-SKBKRQQ/index.html,Saint Peter Basseterre Parish,N/A,Saint Kitts & Nevis ,January 2020
Wyndham Acmar Klang,https://www.hospitalitynet.org/announcement/41004309/wyndham-acmar-klang.html,https://www.wyndhamhotels.com/en-uk,Klang,N/A,Malaysia,January 2020
Voco Al Khobar,https://www.hospitalitynet.org/announcement/41004313/voco-al-khobar.html,https://www.ihg.com/voco/hotels/gb/en/al-khobar/dhako/hoteldetail,Al Khobar,N/A,Saudi Arabia,January 2020
Hyatt Regency Thrissur,https://www.hospitalitynet.org/announcement/41004315/hyatt-regency-thrissur.html,https://www.hyatt.com/en-US/hotel/india/hyatt-regency-thrissur/cokrt,Thrissur,N/A,India,January 2020
"Radisson Blu Hotel, Sakarya",https://www.hospitalitynet.org/announcement/41004316/radisson-blu-hotel-sakarya.html,https://www.radissonhotels.com/en-us/hotels/radisson-blu-sakarya,Sakarya ,N/A,Turkey,January 2020
AC Hotel by Marriott Santiago Costanera Center,https://www.hospitalitynet.org/announcement/41004317/ac-hotel-by-marriott-santiago-costanera-center.html,https://www.marriott.com/hotels/travel/sclac-ac-hotel-santiago-costanera-center/,Santiago,N/A,Chile,January 2020
Novotel Leicester,https://www.hospitalitynet.org/announcement/41004321/novotel-leicester.html,https://all.accor.com/lien_externe.svlt,England,N/A,United Kingdom,January 2020
